epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9621.07,1.04693,1.05712,1.21683,0.8622,0.76244,0.84285,0.69684,0.8884,0.68873,1.08246,0.00685,0.00685,0.00685
44,9842,1.04089,1.04056,1.21093,0.80774,0.78418,0.83522,0.68847,0.881,0.67726,1.07347,0.006775,0.006775,0.006775
45,10058.5,1.03412,1.03725,1.20386,0.8755,0.78742,0.86815,0.721,0.87426,0.66589,1.06828,0.0067,0.0067,0.0067
46,10274.8,1.0428,1.03083,1.20857,0.86737,0.81153,0.87729,0.73742,0.86107,0.64857,1.06635,0.006625,0.006625,0.006625
47,10499.4,1.03812,1.00773,1.207,0.86654,0.80162,0.87538,0.73048,0.85981,0.64477,1.06139,0.00655,0.00655,0.00655
48,10722.8,1.02343,1.00424,1.20151,0.87474,0.79975,0.87442,0.73422,0.8456,0.62619,1.05201,0.006475,0.006475,0.006475
49,10947.1,1.02353,1.0037,1.20259,0.91047,0.80366,0.88162,0.73941,0.84587,0.62079,1.05416,0.0064,0.0064,0.0064
50,11169.1,1.01102,0.97375,1.19106,0.88882,0.81504,0.89282,0.75346,0.84062,0.60261,1.04627,0.006325,0.006325,0.006325
51,11385.4,1.00778,0.9806,1.19394,0.89783,0.82213,0.89017,0.74611,0.8334,0.59904,1.04535,0.00625,0.00625,0.00625
52,11600.1,1.00651,0.96456,1.19132,0.8993,0.82145,0.89296,0.75004,0.83014,0.60223,1.04109,0.006175,0.006175,0.006175
53,11816,1.01898,0.96917,1.19008,0.89349,0.81995,0.88896,0.75139,0.8253,0.5885,1.03581,0.0061,0.0061,0.0061
54,12038.8,1.00707,0.95236,1.19009,0.88687,0.82531,0.89729,0.75818,0.82346,0.57873,1.03829,0.006025,0.006025,0.006025
55,12262.1,0.9976,0.93651,1.18225,0.89581,0.82303,0.89388,0.75005,0.82228,0.58147,1.03503,0.00595,0.00595,0.00595
56,12485.7,1.0012,0.94383,1.18323,0.89709,0.82615,0.90233,0.76577,0.81395,0.56585,1.02707,0.005875,0.005875,0.005875
57,12709.3,0.99086,0.91921,1.17689,0.89902,0.83604,0.90452,0.77183,0.80783,0.55048,1.02868,0.0058,0.0058,0.0058
58,12931.1,0.98071,0.90883,1.17264,0.8978,0.83812,0.90054,0.77044,0.80462,0.54513,1.02462,0.005725,0.005725,0.005725
59,13154.5,0.98606,0.91744,1.17479,0.91623,0.83742,0.90412,0.77464,0.79742,0.54049,1.01805,0.00565,0.00565,0.00565
60,13378.2,0.98529,0.90435,1.16568,0.92725,0.83697,0.90836,0.78142,0.79382,0.52936,1.0146,0.005575,0.005575,0.005575
61,13602,0.98171,0.89132,1.1654,0.91331,0.85097,0.90946,0.78176,0.79108,0.53036,1.0143,0.0055,0.0055,0.0055
62,13825.4,0.97418,0.88779,1.16727,0.92781,0.84078,0.91484,0.78238,0.79113,0.52205,1.01293,0.005425,0.005425,0.005425
63,14048.9,0.97116,0.87612,1.16477,0.91602,0.83677,0.91464,0.78616,0.78642,0.51675,1.01123,0.00535,0.00535,0.00535
64,14272.4,0.97068,0.87749,1.16135,0.90903,0.85934,0.92049,0.78929,0.78011,0.50862,1.00832,0.005275,0.005275,0.005275
65,14495.8,0.96157,0.85834,1.15626,0.91093,0.85262,0.92092,0.79233,0.77669,0.50342,1.00456,0.0052,0.0052,0.0052
66,14719.6,0.95011,0.8648,1.1517,0.91412,0.8443,0.92184,0.79673,0.76683,0.49758,1.00009,0.005125,0.005125,0.005125
67,14943.3,0.94759,0.83924,1.14806,0.90925,0.86615,0.91877,0.79412,0.76256,0.49079,0.99266,0.00505,0.00505,0.00505
68,15166.8,0.94961,0.83156,1.15026,0.91415,0.85727,0.92198,0.79859,0.75985,0.48265,0.99211,0.004975,0.004975,0.004975
69,15390.2,0.94857,0.82987,1.14837,0.92175,0.8663,0.92313,0.79995,0.75411,0.47697,0.98931,0.0049,0.0049,0.0049
70,15614,0.94917,0.83618,1.14408,0.91416,0.88018,0.92958,0.80237,0.7525,0.4749,0.98857,0.004825,0.004825,0.004825
71,15837.8,0.93181,0.82306,1.14339,0.92012,0.86564,0.92782,0.80527,0.75053,0.47365,0.98948,0.00475,0.00475,0.00475
72,16061.4,0.93978,0.82439,1.14004,0.91631,0.85882,0.92999,0.80744,0.74653,0.46597,0.98474,0.004675,0.004675,0.004675
73,16285.1,0.93537,0.80703,1.14081,0.92092,0.8669,0.93265,0.81218,0.74116,0.46057,0.98214,0.0046,0.0046,0.0046
74,16508.6,0.93679,0.79818,1.14038,0.92573,0.87539,0.93431,0.81442,0.73509,0.45553,0.97643,0.004525,0.004525,0.004525
75,16731.8,0.92528,0.79698,1.13436,0.93133,0.87066,0.9324,0.813,0.73375,0.45043,0.97628,0.00445,0.00445,0.00445
76,16954.5,0.9311,0.79496,1.13136,0.91906,0.87975,0.93166,0.81555,0.73133,0.44695,0.97317,0.004375,0.004375,0.004375
77,17177.3,0.91821,0.78441,1.13046,0.91743,0.86821,0.933,0.81165,0.72755,0.44507,0.97021,0.0043,0.0043,0.0043
78,17400.1,0.91507,0.77869,1.12843,0.92583,0.86513,0.93368,0.81617,0.72396,0.43995,0.96772,0.004225,0.004225,0.004225
79,17623.2,0.90927,0.76887,1.12322,0.92523,0.86679,0.93615,0.82105,0.71815,0.43387,0.9637,0.00415,0.00415,0.00415
80,17846.4,0.91602,0.76827,1.12459,0.93086,0.87071,0.93856,0.82337,0.71427,0.42882,0.95994,0.004075,0.004075,0.004075
81,18069.3,0.90597,0.76709,1.11665,0.93789,0.87881,0.94039,0.82526,0.71202,0.42407,0.95632,0.004,0.004,0.004
82,18292.2,0.90132,0.75216,1.11464,0.94676,0.87919,0.94188,0.82614,0.71072,0.41968,0.9557,0.003925,0.003925,0.003925
83,18515.7,0.89403,0.7527,1.11544,0.93003,0.89601,0.94294,0.8292,0.70758,0.41381,0.95609,0.00385,0.00385,0.00385
84,18738.6,0.90037,0.74459,1.11439,0.93503,0.88655,0.94235,0.83025,0.70455,0.41028,0.95401,0.003775,0.003775,0.003775
85,18961.8,0.89638,0.73383,1.11488,0.93621,0.8885,0.94219,0.83068,0.7025,0.40827,0.95331,0.0037,0.0037,0.0037
86,19184.6,0.88718,0.73006,1.11141,0.93463,0.89216,0.94232,0.8285,0.70046,0.4052,0.95114,0.003625,0.003625,0.003625
87,19406.8,0.89317,0.72704,1.11032,0.94208,0.88473,0.94317,0.82864,0.69845,0.4049,0.94987,0.00355,0.00355,0.00355
88,19629.9,0.88176,0.7197,1.10726,0.93244,0.88896,0.94366,0.83217,0.69557,0.40206,0.94888,0.003475,0.003475,0.003475
89,19853.2,0.88511,0.71872,1.09922,0.92894,0.89012,0.94486,0.83406,0.69213,0.39972,0.94615,0.0034,0.0034,0.0034
90,20075.4,0.87053,0.70689,1.09814,0.9228,0.90223,0.94581,0.83512,0.6884,0.39574,0.94382,0.003325,0.003325,0.003325
91,20298.2,0.8683,0.70783,1.09461,0.94063,0.88935,0.94625,0.83705,0.68557,0.39242,0.94164,0.00325,0.00325,0.00325
92,20520.8,0.87072,0.7024,1.09277,0.9436,0.8889,0.94671,0.83817,0.68242,0.38928,0.93994,0.003175,0.003175,0.003175
93,20742.9,0.86814,0.69188,1.09256,0.94564,0.88886,0.94626,0.83849,0.6802,0.3864,0.93861,0.0031,0.0031,0.0031
94,20965.5,0.87398,0.69138,1.09576,0.95086,0.88366,0.94548,0.83985,0.67811,0.38403,0.93741,0.003025,0.003025,0.003025
95,21188.2,0.86382,0.68653,1.09335,0.94171,0.89527,0.9453,0.84065,0.67515,0.38141,0.93517,0.00295,0.00295,0.00295
96,21411,0.8639,0.67391,1.08267,0.94598,0.89561,0.94548,0.84051,0.67246,0.37941,0.93297,0.002875,0.002875,0.002875
